,title,author,publisher,category,language,score,ebookPrice,audiobookPrice,paperPrice,popularity
0,Przejęcie,Wojciech Chmielarz,Wydawnictwo Czarne,Kryminał,Jakub Mortka,"4,4","27,90","29,90","39,90",108
1,Zombie,Wojciech Chmielarz,Wydawnictwo Czarne,Kryminał,Cykl gliwicki,"4,3","33,90","29,90","39,90",51
2,Hashtag,Remigiusz Mróz,Czwarta Strona,Kryminał,polski,"3,9","31,90","39,90","14,90",52
3,Listy zza grobu,Remigiusz Mróz,Filia,Kryminał,Seweryn Zaorski,"4,2","29,90","39,90","39,90",155
4,Rana,Wojciech Chmielarz,Marginesy,Kryminał,polski,"4,1","31,91","39,90","39,90",119
5,Nieodnaleziona,Remigiusz Mróz,Filia,Kryminał,Damian Werner,"4,2","29,90","39,90","39,90",72
6,Iluzjonista,Remigiusz Mróz,Filia,Kryminał,polski,"4,5","29,90","39,90","39,90",371
7,W kręgach władzy Władza absolutna,Remigiusz Mróz,Filia,Kryminał,polski,"0,0",,,"39,90",
8,Kasacja,Remigiusz Mróz,Czwarta Strona,Kryminał,Joanna Chyłka,"4,4","23,90","34,90","34,90",262
9,Nikt się nie dowie,Agnieszka Pietrzyk,Czwarta Strona,Kryminał,polski,"3,9","31,90",,"39,90",311
10,Drugi sen,Robert Harris,Wydawnictwo Albatros,"Sensacja, thriller, horror",polski,"3,7","39,90",,"39,90",139
11,Ekstradycja,Remigiusz Mróz,Czwarta Strona,Kryminał,polski,"4,6","31,90","39,90","39,90",2763
12,Głosy z zaświatów,Remigiusz Mróz,Filia,Kryminał,Seweryn Zaorski,"4,5","29,90","39,90","39,90",540
13,Blizna / Już jesteś martwa,Sharon Bolton,Amber,Kryminał,polski,"0,0",,,"69,90",
14,Księżniczka mafii,Merissa Merico,Amber,Kryminał,polski,"0,0",,,"39,80",
15,Pensjonat Biały Dwór Tom 2. Afrykański klucz,Iga Karst,Szara Godzina,Kryminał,polski,"0,0",,,"34,90",
16,Dramaty,Sobczak Maciej,Poligraf,Kryminał,polski,"0,0",,,"27,00",
17,Boski Znak,Krzysztof Bochus,Skarpa Warszawska,Kryminał,Adam Berg,"4,2","38,00",,"39,90",86
18,Złe dzieci,Dominik Rutkowski,Świat Książki,Obyczajowe i romanse,polski,"4,0","32,90",,"39,90",16
19,Pętla,Grzegorz Majewski,Genius Creations,"Sensacja, thriller, horror",polski,"4,3","29,99",,,
20,Basen,Kocik Joanna,Harde Wydawnictwo,Obyczajowe i romanse,polski,"0,0","39,99",,"39,99",
21,Konstelacja zbrodni,Krzysztof Beśka,Oficynka,Kryminał,polski,"0,0",,,"39,00",
22,Zakłamani,Dulewicz Joanna,Czwarta Strona,Kryminał,polski,"0,0",,,"36,90",
23,Harmonia zbrodni,Aleksandra Marinina,Czwarta Strona,Kryminał,polski,"4,1","31,90",,"39,90",55
24,Czas Wagi,Aleksander Sowa,Wydawnictwo Lira,Kryminał,polski,"4,6","26,99",,"36,99",57
25,Bracia Vega,Lars Lenth,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,Obyczajowe i romanse,polski,"0,0","29,90",,"38,00",
26,Lupus,Jens Henrik Jensen,Helion,Kryminał,polski,"0,0",,,"39,90",
27,Chemik,Piotr Wójcik,Wydawnictwo Dragon,Kryminał,polski,"4,2","34,95",,"34,95",45
28,Załoga,Grzegorz Kalinowski,Skarpa Warszawska,Kryminał,polski,"3,7","38,00",,"39,90",13
29,Mam na ciebie oko,Higgins Clark Mary,Prószyński Media,Kryminał,polski,"0,0",,,"38,00",
30,Gdy zapadnie noc,Bailey Sarah,Karakter,Kryminał,polski,"0,0",,,"39,90",
31,Tajemnica mordercy,Caine Rachel,Filia,Kryminał,Stillhouse Lake,"4,3","29,90",,"39,90",108
32,Listy zza grobu / Głosy z zaświatów,Remigiusz Mróz,Filia,Kryminał,polski,"0,0",,,"59,90",
33,Ślepiec / Grób,Max Czornyj,Filia,Kryminał,polski,"0,0",,,"59,90",
34,Serca szpiegów,Romański Marek,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"34,90",
35,Życie i śmierć Axela Branda,Romański Marek,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"34,90",
36,Zbrodnia na blokowisku,Aleksandra Rumin,Initium,Obyczajowe i romanse,polski,"3,8","28,90",,"34,90",21
37,Strzał w nocy,Bachrach Daniel,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"32,90",
38,Tajemnica białej willi,Godek Piotr,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"29,90",
39,Pokój nr 23,Różański Zenon,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"28,50",
40,Zdrajca,Anna Kłodzińska,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"32,90",
41,Nietoperze,Anna Kłodzińska,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"32,90",
42,Trucizna działa,Cuculescu I.,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"32,90",
43,Pan Lecoq,Gaboriau Emile,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"34,20",
44,Małżeństwo Neili Forster,Romański Marek,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"31,30",
45,Szpieg z Falklandów,Romański Marek,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"29,90",
46,Malwina przegrała milion,Anna Kłodzińska,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"31,30",
47,W pogardzie prawa,Anna Kłodzińska,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"31,30",
48,Grzęzawisko,Anna Kłodzińska,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"32,80",
49,Pan Przypadek i cykliści,Jacek Getner,Wydawnictwo Zakładka,Kryminał,polski,"0,0","16,80",,"31,92",
50,Powtórka z rozgrywki,Marcin Wolski,Zysk i S-ka,Obyczajowe i romanse,polski,"3,0","32,00",,"39,90",
51,Irma,Gryglik Marcin,Zysk i S-ka,Kryminał,polski,"0,0",,,"39,90",
52,Stalker,Bartoś Jolanta,Białe Pióro,Kryminał,polski,"0,0",,,"36,00",
53,Oddaj albo giń!,Olga Rudnicka,Prószyński Media,Kryminał,polski,"0,0",,,"38,00",
54,Mroczny świt,Klaudiusz Szymańczak,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,Kryminał,polski,"4,1","29,90","34,90","39,90",18
55,Ślad,Przemysław Żarski,Czwarta Strona,Kryminał,polski,"3,7","29,90",,"36,90",28
56,Kości nie kłamią,Melinda Leigh,Helion,Kryminał,polski,"0,0",,,"39,90",
57,W sieci zł@,James Wendy,Poradnia K,Kryminał,polski,"0,0",,,"39,99",
58,Wotum,Maciej Siembieda,Agora,Kryminał,polski,"0,0",,,"39,99",
59,Ciemność wśród nas,Mari Jungstedt,Bellona,Kryminał,polski,"0,0",,,"39,90",
60,Szukaj mnie,Lisa Gardner,Sonia Draga,"Sensacja, thriller, horror",polski,"4,3","33,50","39,90","39,90",498
61,Idealne dziecko,Berry Lucinda,Filia,Kryminał,polski,"0,0",,,"42,90",
62,Zniknięcie Sary Kroniki Klary Schulz,Nadia Szagdaj,Dragon,Kryminał,polski,"0,0",,,"34,95",
63,Czyjaś córka,Bell David,Prószyński i S-ka,Obyczajowe i romanse,polski,"0,0","32,00",,"39,99",
64,Piękne kłamstwa,Peter Swanson,Marginesy,Kryminał,polski,"3,7","31,90",,"39,90",63
65,Tunel śmierci,Otto Stemin,KtoCzyta.pl,Języki obce,polski,"0,0","14,90",,"32,80",
66,Rycerze mroku / Ciekawe Miejsca,Stanisław Wotowski,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"31,30",
67,Kariera Panny Mańki / Ciekawe Miejsca,Stanisław Wotowski,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"31,30",
68,Pocałunek śmierci / Ciekawe Miejsca,Godek Piotr,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"34,15",
69,Idealna żona,Kimberly Belle,Filia,Kryminał,polski,"4,2","32,90","42,90","42,90",191
70,Mord na Zimnych Wodach,Grosman Małgorzata,Zysk i S-ka,Kryminał,polski,"0,0",,,"39,90",
71,Pierwsza krew,Sire Cedric,Dragon,Kryminał,polski,"0,0",,,"39,95",
72,Miasto bezkresnej nocy,"Preston Douglas, Child Lincoln",Agora,Kryminał,polski,"0,0",,,"39,99",
73,Reputacja,Marcin Kiszela,W.A.B.,Kryminał,polski,"0,0",,,"39,99",
74,Wypocznij i zgiń,Marta Matyszczak,Dolnośląskie,Kryminał,polski,"0,0",,,"29,90",
75,Łowca tatuaży,Belsham Alison,W.A.B.,Kryminał,polski,"0,0",,,"39,99",
76,Wioska kłamców,Hanna Greń,Czwarta Strona,Kryminał,polski,"4,0","31,90",,"39,90",44
77,Maigret i kloszard,Simenon Georges,C&T,Kryminał,polski,"0,0",,,"19,00",
78,Stracony,Jane Harper,Czarna Owca,Kryminał,polski,"4,4","34,99",,"39,99",20
79,Z moich kości,Marcin Dudziński,Czarna Owca,Kryminał,Trylogia Profanum,"4,2","27,99","27,99","32,99",13
80,Amnezja,Axat Federico,Prószyński i S-ka,Obyczajowe i romanse,polski,"0,0","32,00",,"39,99",
81,Krzyk do nieba,Mons Kallentoft,Rebis,Kryminał,Komisarz Malin Fors,"5,0","33,90",,"39,90",
82,Pod powierzchnią nieba,Sut Jacek,Skarpa Warszawska,Kryminał,polski,"0,0",,,"37,90",
83,Błysk,Chojnacki Artur,Skarpa Warszawska,Kryminał,polski,"0,0",,,"37,90",
84,Mgliste powietrze,Ann Cleeves,Czwarta Strona,Kryminał,Kwartet szetlandzki,"4,2","31,90",,"39,90",59
85,Czerwony świt,Jędrzej Pasierski,Wydawnictwo Czarne,Kryminał,Nina Warwiłow,"4,2","27,90","29,90","34,90",58
86,Mord,Rychner Jan,Novae Res,Kryminał,polski,"0,0",,,"25,99",
87,Mroczne jezioro,Bailey Sarah,Helion,Kryminał,polski,"0,0",,,"39,90",
88,Zadra,Robert Małecki,Czwarta Strona,Kryminał,Bernard Gross,"4,4","31,90","36,90","39,90",133
89,Milczenie lodu,Jonasson Ragnar,Amber,Kryminał,Mroczna wyspa lodu,"3,7","25,44",,"9,99",11
90,Chłopcy których kochano za mocno,"Kyrcz jr., Kazimierz",HarperCollins Polska,Kryminał,polski,"0,0",,,"38,99",
91,Wilcze kobiety,Hanna Greń,Replika,Kryminał,polski,"0,0",,,"36,90",
92,Zaufasz mi,Diana Brzezińska,Otwarte,Kryminał,polski,"0,0",,,"39,99",
93,Schronisko dla ludzi,Wojciech Szlęzak,Wydawnictwo Lira,Kryminał,polski,"2,9","26,99",,"36,99",
94,Wada,Robert Małecki,Czwarta Strona,Kryminał,Bernard Gross,"4,3","31,89","36,90","39,90",55
95,Układ idealny,Emilia Wituszyńska,Wydawnictwo Kobiece,Kryminał,Weronika Kardasz,"4,4","29,90","39,90","39,90",430
96,Zmuszona by zabić,Rachel Abbott,Filia,Kryminał,polski,"0,0",,,"42,90",
97,Nieostrożna miłość,Peter Robinson,Sonia Draga,"Sensacja, thriller, horror",Inspektor Banks,"3,9","32,50","39,00","39,00",18
98,Zerwa,Remigiusz Mróz,Filia,Kryminał,Komisarz Forst,"4,5","29,90",,"39,90",48
99,Trawers,Remigiusz Mróz,Filia,Kryminał,Komisarz Forst,"4,5","26,90",,"36,90",72
100,Przewieszenie,Remigiusz Mróz,Filia,Kryminał,Komisarz Forst,"4,5","26,90",,"36,90",70
101,Niepamięć,Marek Stelar,Filia,Kryminał,Suder,"4,3","29,90",,,30
102,Poryw,Kinga Wójcik,Prószyński i S-ka,Obyczajowe i romanse,polski,"0,0","32,00",,"39,99",
103,Niewiadoma,Marek Stelar,Filia,Kryminał,Suder,"4,3","29,90",,"39,90",13
104,Ktoś musi umrzeć,Sarah A. Denzil,Filia,Kryminał,polski,"3,7","29,90",,"39,90",20
105,Behawiorysta,Remigiusz Mróz,Filia,Kryminał,polski,"4,3","26,90",,"36,90",171
106,Sarkofag,Jacek Ostrowski,Skarpa Warszawska,Kryminał,Seria z papugą,"4,2","32,00",,"37,90",
107,W kręgu podejrzenia,Zygmunt Zeydler-Zborowski,LTW,Kryminał,polski,"0,0",,,"25,00",
108,Zamachowiec,Liza Marklund,Czarna Owca,Kryminał,polski,"0,0",,,"34,99",
109,Studio Sex,Liza Marklund,Czarna Owca,Kryminał,polski,"0,0",,,"34,99",
110,Raj,Liza Marklund,Czarna Owca,Kryminał,polski,"0,0",,,"34,99",
111,Prime Time,Liza Marklund,Czarna Owca,Kryminał,polski,"0,0",,,"34,99",
112,Czerwona Wilczyca,Liza Marklund,Czarna Owca,Kryminał,polski,"0,0",,,"34,99",
113,Iluzja,Mieczysław Gorzka,Bukowy Las,Kryminał,Cienie przeszłości,"4,7","34,90",,"39,90",42
114,Sielski zakątek,Sośnica-Czekała Barbara,Fabuła Fraza,Kryminał,polski,"0,0",,,"49,90",
115,Solid Gold,Jacek Bromski,Prószyński i S-ka,Obyczajowe i romanse,polski,"0,0","30,40",,"38,00",
116,Najniższy krąg piekła,Piotr Sowiński,Księży Młyn Dom Wydawniczy Michał Koliński,Kryminał,polski,"3,3","29,90",,"34,90",
117,Pieczeń sarnia,Zygmunt Zeydler-Zborowski,LTW,Kryminał,polski,"0,0",,,"27,00",
118,Molo śmierci,Maciej Żurawski,Liberum Verbum,Kryminał,polski,"3,0","28,04",,"31,00",
119,Złe spojrzenia,Daria Orlicz,HarperCollins,Kryminał,polski,"3,9","24,99",,"38,99",
120,Śmierć z ogłoszenia,Grzegorz Kalinowski,Muza,Kryminał,polski,"4,5","31,90",,"39,90",
121,Zabójcze Święta,Wojciech Chmielarz,Skarpa Warszawska,Kryminał,polski,"0,0",,,"39,90",
122,Upiory spacerują nad Wartą,Ryszard Ćwirlej,Muza,Kryminał,polski,"4,8","34,30",,"42,90",19
123,Powódź,Paweł Fleszar,Księży Młyn Dom Wydawniczy Michał Koliński,Kryminał,polski,"3,5","29,90",,"29,90",
124,Zakon Świętego Brutusa,Adam Podlewski,Skarpa Warszawska,Kryminał,polski,"0,0",,,"37,90",
125,Rok Szczura,Marta Guzowska,Skarpa Warszawska,Kryminał,polski,"3,6","32,00",,"37,90",
126,Marsz w mrok,Miłosz Fryzeł,Bukowy Las,Kryminał,polski,"4,0","29,90",,"34,90",
127,Bestia,Olga Sawicka,Burda Książki,Kryminał,polski,"3,9","31,00",,"39,90",
128,Niepokorni,Vincent V. Severski,Czarna Owca,Obyczajowe i romanse,Nielegalni,"0,0","19,99","19,99","24,99",
129,Niewierni,Vincent V. Severski,Czarna Owca,Kryminał,Nielegalni,"4,7","24,99","24,99","29,99",
130,Pakiet: Ekspozycja / Przewieszenie / Trawers / Deniwelacja / Zerwa,Remigiusz Mróz,Filia,Kryminał,polski,"0,0",,,"129,90",
131,Pakiet: Obce dziecko / Idealne kłamstwo,Rachel Abbott,Filia,Kryminał,polski,"0,0",,,"59,90",
132,W obronie syna,William Landay,Amber,"Sensacja, thriller, horror",polski,"3,5","39,80",,"44,80",11
133,Prezent,Sebastian Fitzek,Amber,Kryminał,polski,"4,2","37,80",,"39,80",15
134,Dłonie śmierci,Skorupski Grzegorz,Oficynka,"Sensacja, thriller, horror",Adam Karski,"5,0","40,00",,"40,00",
135,Defraudant,Romański Marek,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"31,30",
136,Życie i przygody Wiktora Gruena,Kurnatowski Ludwik M.,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"28,40",
137,Złote sidła,Romański Marek,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"31,30",
138,Ekspres Warszawa-Paryż,Godek Piotr,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"31,30",
139,Godzina trwogi,Różański Zenon,Ciekawe Miejsca,Kryminał,polski,"0,0",,,"28,40",
140,Rouletabille u cara,Gaston Leroux,KtoCzyta.pl,Języki obce,Joseph Rouletabille,"0,0","14,90",,"34,15",
141,Zwierz,Piotr Kościelny,Initium,Kryminał,polski,"4,6","29,90",,"44,90",57
142,Sielski Zakątek,Czekała-Sośnica Brabara,Fabuła Fraza,Kryminał,polski,"0,0",,,"34,90",
143,Miłość leczy rany,Katarzyna Bonda,Muza,Kryminał,polski,"3,8","39,90","49,90","49,90",45
144,Balladyna,"Czornyj Max, Grzegorzewska Gaja, Małecki Robert, Orbitowski Łukasz, Rogala Małgorzata, Rogoziński Al",Filia,Kryminał,polski,"0,0",,,"44,90",
145,Nóż,Piecuch Henryk,CB,Kryminał,polski,"0,0",,,"39,00",
146,Dopóki śmierć nas nie rozłączy,JoAnn Chaney,Zysk i S-ka,"Sensacja, thriller, horror",polski,"3,8","30,00",,"37,90",
147,Pakiet Millennium David Lagercrantz,David Lagercrantz,Czarna Owca,Kryminał,polski,"0,0",,,"79,99",
148,Za moje krzywdy,Ewa Lenarczyk,Psychoskok,Kryminał,polski,"3,6","26,90",,"36,90",
149,Morderca jest wśród nas,Lucy Foley,Filia,Kryminał,polski,"3,8","29,90",,"39,90",12
150,Malwina i Eliza na tropie Szczęśliwa nieboszczka,Kursa J. Małgorzata,Lira Publishing Sp. z o.o.,Kryminał,polski,"0,0",,,"29,99",
151,Chciwość,Marc Elsberg,W.A.B.,Kryminał,polski,"0,0",,,"49,99",
152,Kasztanowy ludzik,Soren Sveistrup,W.A.B.,Kryminał,polski,"0,0",,,"44,99",
153,Mamba,Maja Welfens,Novae Res,Kryminał,polski,"0,0",,,"37,99",
154,Wieczny odpoczynek,Aleksandra Marinina,Czwarta Strona,Kryminał,polski,"4,2","31,89",,"39,90",
155,Klątwa,Max Czornyj,Filia,Kryminał,Komisarz Eryk Deryło,"4,2","29,90",,"39,90",31
156,Ucieczka,David Baldacci,Dolnośląskie,Kryminał,polski,"0,0",,,"39,90",
157,Mock Golem,Marek Krajewski,Znak,Kryminał,polski,"0,0",,,"39,99",
158,Głębia,Arne Dahl,Czarna Owca,Kryminał,Sam Berger i Molly Blom,"4,0","34,99",,"39,99",
159,David Hunter. Zapach śmierci,Simon Beckett,Czarna Owca,Kryminał,Dr David Hunter,"4,3","34,99","34,99","39,99",164
160,Rytuały wody,Eva Garcia Saenz de Urturi,Muza,Kryminał,polski,"0,0",,,"49,90",
161,Sitwa,Paulina Świst,Muza,Kryminał,polski,"0,0",,,"39,90",
162,Jej ostatnie pożegnanie,Melinda Leigh,Helion,Kryminał,polski,"0,0",,,"39,90",
163,Szóste piętro,Alex Sinclair,Prószyński i S-ka,Kryminał,polski,"2,3","30,40",,"38,00",
164,Miasto duchów,Krzysztof Bochus,Skarpa Warszawska,Kryminał,Christian Abell,"4,4","33,00",,"37,91",
165,Odkupienie,David Baldacci,Wydawnictwo Dolnośląskie,"Sensacja, thriller, horror",polski,"4,5","31,92",,"39,90",10
166,Martwa woda,Ann Cleeves,Czwarta Strona,Kryminał,Kwartet szetlandzki,"4,2","31,89",,"39,90",16
167,Sieci widma,Leszek Herman,Muza,Kryminał,polski,"5,0","39,90",,"49,90",10
168,Kryształowi Tom 3 Polowanie,Joanna Opiat-Bojarska,Muza,Kryminał,polski,"0,0",,,"39,90",
169,Blues o krwi i trawie,Paweł Ciećwierz,Genius Creations,Kryminał,polski,"3,3","29,99","34,99","34,99",
170,Tajemnica Kanału La Manche,Romański Marek,CM,Kryminał,polski,"0,0",,,"32,90",
171,Przez namiętność do zbrodni,Bachrach Daniel,CM,Kryminał,polski,"0,0",,,"32,90",
172,Zemsta doskonała,Agnieszka Lewandowska-Kąkol,Rytm,Kryminał,polski,"0,0",,,"19,95",
173,Sprawa pechowca,Nadia Szagdaj,Dragon,Kryminał,polski,"0,0",,,"34,95",
174,Cymanowski Młyn,Magdalena Witkiewicz,Filia,"Sensacja, thriller, horror",polski,"3,9","26,90","36,90","41,90",18
175,Ekspozycja,Remigiusz Mróz,Filia,Kryminał,Komisarz Forst,"4,3","26,90",,"36,90",111
176,Idealne kłamstwo,Rachel Abbott,Filia,Kryminał,polski,"4,3","29,90",,"39,90",16
177,Prochem i cieniem,Vera Eikon,Filia,Kryminał,Między prawami,"4,5","29,90",,"39,90",
178,Operacja Rafael,"Faliński Marcin, Kozubal Marek",Czarna Owca,Kryminał,polski,"0,0",,,"39,99",
179,Norweski pacjent,Lars Lenth,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,Kryminał,polski,"3,7","29,90",,"38,00",
180,Kolory zła Czerwień,Małgorzata Oliwia Sobczak,W.A.B.,Kryminał,polski,"0,0",,,"39,99",
181,Kto się śmieje ostatni,Amy Gentry,Prószyński i S-ka,Kryminał,polski,"0,0","32,00",,"39,99",
182,Zabójstwo na cztery ręce,Karolina Morawiecka,Heraclon International,Kryminał,polski,"3,3",,"29,95","29,95",11
183,Mara,"Kuźmińs kaMałgorzata, Kuźmiński Michał",Dolnośląskie,Kryminał,polski,"0,0",,,"39,90",
184,Odludzie,Kłomnicki Krystian,Dom Horroru,Kryminał,polski,"0,0",,,"35,00",
185,Terapeutka,Bev Thomas,Filia,"Sensacja, thriller, horror",polski,"3,6","29,90",,"39,90",25
186,Wyrok,Remigiusz Mróz,Czwarta Strona,Kryminał,polski,"4,4","31,89","39,90","39,90",379
187,Obietnica dla zmarłej,Victoria Jenkins,Amber,"Sensacja, thriller, horror",polski,"3,8","32,80",,"39,80",
188,Będziesz moja,Diana Brzezińska,Otwarte,Kryminał,polski,"0,0",,,"39,90",
189,Reset,Krzysztof Domaradzki,Czarna Owca,Kryminał,Komisarz Tomek Kawęcki,"4,5","34,99","34,99","39,99",
190,Dziecko znikąd,Christian White,Czarna Owca,Kryminał,polski,"3,9","31,99",,"36,99",
191,Perfekcyjna żona,JP Delaney,Otwarte,Kryminał,polski,"0,0",,,"39,90",
192,Nazywam się Milion,Karina Krawczyk,Dlaczemu,Kryminał,polski,"3,8","21,00",,"39,90",
193,Kot psuje się od ogona,Zawojska Katarzyna,Novae Res,Kryminał,polski,"0,0",,,"35,99",
194,Wśród rekinów,Nele Neuhaus,Media Rodzina,Kryminał,polski,"0,0","36,00",,"44,90",
195,Piękne ciało,Christie Daugherty,Czarna Owca,Kryminał,Harper McClain,"4,5","31,99",,"36,99",
196,Maigret i gangsterzy,Simenon Georges,C&T,Kryminał,polski,"0,0",,,"19,00",
197,Bezmiar,Grzegorz Kapla,Burda Książki,Kryminał,polski,"4,4","31,00",,"39,90",
198,Żywi i umarli,Nele Neuhaus,Media Rodzina,Kryminał,Oliver von Bodenstein i Pia Kirchhoff,"4,5","34,00",,"39,90",
199,Metropolia Część 1 Wina,Piotr Wójcik,Dragon,Kryminał,polski,"0,0",,,"34,95",
200,Zima Skorpiona,Andrew Kaplan,Dragon,Kryminał,polski,"0,0",,,"39,95",
201,Czarna Lista,Kerry Wilkinson,Wydawnictwo Dragon,Kryminał,polski,"3,9","32,95",,"39,95",
202,Niszcz powiedziała,Piotr Rogoża,Marginesy,Kryminał,polski,"0,0",,,"34,90",
203,W złotej klatce,Rhys Bowen,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,Obyczajowe i romanse,Molly Murphy,"3,9","21,00",,"29,00",
204,Miasto i rzeka,Gunia Wojciech,Dom Horroru,Kryminał,polski,"0,0",,,"27,00",
205,Przedpiekle,Vera Eikon,Filia,Kryminał,Między prawami,"4,4","29,90",,"39,90",
206,Białe kłamstwa,Piotr Borlik,Prószyński i S-ka,Kryminał,Agata Stec i Artur Kamiński,"4,4","32,00",,"39,99",
207,Dziewczyna zwana Jane Doe,Victoria Helen Stone,Czwarta Strona,"Sensacja, thriller, horror",polski,"3,9","31,89",,"39,90",19
208,Faza REM,Agnieszka Sudomir,Genius Creations,Kryminał,Miasto obiecane,"3,6","24,99","29,99","34,99",
209,Warszawianka,Żmiejewska Ida,Skarpa Warszawska,Kryminał,polski,"0,0",,,"37,90",
210,Naznaczenie siódmego,Dawid Niemiec,WasPos,Kryminał,polski,"3,8","39,90",,"37,90",
211,Cień zabójcy,Janiczak Bogusław,KryWaj,Kryminał,polski,"0,0",,,"30,00",
212,"Zaśnij, laleczko",Kałowska Grażyna,Białe Pióro,Kryminał,polski,"0,0",,,"34,00",
213,Inspektor Stucky Tom 1 Ekspedientki z Treviso,Fulvio Ervas,Smak Słowa,Kryminał,polski,"0,0",,,"39,90",
214,Seria o komisarzu Williamie Wistingu Tom 12 Ukryty pokój,Horst Jorn Lier,Smak Słowa,Kryminał,polski,"0,0",,,"39,99",
215,Niezależność,Maurycy Nowakowski,Novae Res,Kryminał,polski,"4,0","39,36",,"37,99",
216,Cudze grzechy,Daria Orlicz,HarperCollins,Kryminał,Stracone dusze,"3,9","29,99",,"38,99",
217,Nawet umarli kłamią,Zygmunt Zeydler-Zborowski,LTW,Kryminał,polski,"0,0",,,"27,00",
218,Widowisko,Przemysław Borkowski,Czwarta Strona,Kryminał,Zygmunt Rozłucki,"3,9","29,90","36,90","36,90",
219,Firma,John Grisham,Wydawnictwo Albatros,"Sensacja, thriller, horror",polski,"4,8","34,00",,"39,90",
220,Gra luster,Andrea Camilleri,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,Kryminał,Komisarz Montalbano,"3,9","25,00",,"34,00",
221,Dom tajemnic,Alek Rogoziński,Edipresse Książki,Kryminał,polski,"3,9","27,90","34,90","39,90",
222,Rzeźnik,Max Czornyj,Filia,Kryminał,polski,"4,0","29,90",,"39,90",27
223,Jedyne dziecko,Sarah A. Denzil,Filia,Kryminał,polski,"4,2","29,90",,"39,90",24
224,Łańcuch,Adrian McKinty,Agora,Kryminał,polski,"0,0",,,"42,99",
225,Bękarty z Pizzofalcone,de Giovanni Maurizio,Muza,Kryminał,polski,"0,0",,,"39,90",
226,Klatka,Lilja Sigurdardóttir,Wydawnictwo Kobiece,Kryminał,polski,"0,0",,,"34,90",
227,Tabu,Bernadeta Prandzioch,Rebis,Kryminał,polski,"0,0","29,90",,"34,90",
228,Sprawcy i ofiary,Jan Melerski,Psychoskok,Kryminał,polski,"3,3","20,90",,"25,90",
229,Tajemnica Białych Płaszczy,Jean-François Parot,Czarna Owca,Kryminał,polski,"3,8","34,99",,"39,99",
230,Sherlock Holmes i sztuka we krwi,Bonnie Macbird,Amber,Kryminał,polski,"3,9","29,70",,"39,80",
231,Zdrada Skorpiona,Andrew Kaplan,Wydawnictwo Dragon,"Sensacja, thriller, horror",Skorpion,"4,0","31,99",,"39,95",
232,Zamrożone płomienie,Jens Henrik Jensen,Helion,Kryminał,polski,"0,0",,,"39,90",
233,Proś o wybaczenie,Melinda Leigh,Helion,Kryminał,polski,"0,0",,,"39,90",
234,Zbrodnia po irlandzku,Aleksandra Rumin,Initium,Kryminał,polski,"3,9","28,91",,"36,90",
235,Wyryte w piasku,Michel Bussi,Świat Książki,Kryminał,polski,"4,1","31,50",,"36,90",
236,Śmierć nadeszła wczoraj,Aleksandra Marinina,Czwarta Strona,Kryminał,polski,"4,0","35,90",,"44,90",10
237,Telefon o północy,Tess Gerritsen,HarperCollins,"Sensacja, thriller, horror",polski,"4,1","24,99",,"36,99",31
238,Prywatne śledztwo Agaty Brok Tom 1 Nikt nie słucha starych ludzi,Iwona Wilmowska,Axis Mundi,Kryminał,polski,"0,0",,,"34,90",
239,Prywatne śledztwo Agaty Brok Brok Tom 2 Gwiaździsta noc,Iwona Wilmowska,Axis Mundi,Kryminał,polski,"0,0",,,"34,90",
240,Ta która musi umrzeć tw.,David Lagercrantz,Czarna Owca,Kryminał,polski,"0,0",,,"49,99",
241,Ta która musi umrzeć,David Lagercrantz,Czarna Owca,Kryminał,polski,"0,0",,,"39,99",
242,Piąta ofiara,J.D. Barker,Czarna Owca,Kryminał,Sam Porter,"4,4","34,99","34,99","39,99",19
243,Przeciwko bratu,Marcin Dudziński,Czarna Owca,Kryminał,Trylogia Profanum,"3,9","27,99",,"32,99",
